pfaf_id,bau30_ws_x_r,bau30_ws_x_s,bau30_ws_x_c,bau30_ws_x_l,bau50_ws_x_r,bau50_ws_x_s,bau50_ws_x_c,bau50_ws_x_l,bau80_ws_x_r,bau80_ws_x_s,bau80_ws_x_c,bau80_ws_x_l,opt30_ws_x_r,opt30_ws_x_s,opt30_ws_x_c,opt30_ws_x_l,opt50_ws_x_r,opt50_ws_x_s,opt50_ws_x_c,opt50_ws_x_l,opt80_ws_x_r,opt80_ws_x_s,opt80_ws_x_c,opt80_ws_x_l,pes30_ws_x_r,pes30_ws_x_s,pes30_ws_x_c,pes30_ws_x_l,pes50_ws_x_r,pes50_ws_x_s,pes50_ws_x_c,pes50_ws_x_l,pes80_ws_x_r,pes80_ws_x_s,pes80_ws_x_c,pes80_ws_x_l,pfaf_prefix
811101,3.35e-06,0.0,0.0,Low (<10%),3.26e-06,0.0,0.0,Low (<10%),3.1e-06,0.0,0.0,Low (<10%),3.24e-06,0.0,0.0,Low (<10%),3.15e-06,0.0,0.0,Low (<10%),3.05e-06,0.0,0.0,Low (<10%),3.23e-06,0.0,0.0,Low (<10%),3.15e-06,0.0,0.0,Low (<10%),2.96e-06,0.0,0.0,Low (<10%),8
811102,0.000153853,0.0,0.0,Low (<10%),0.000139894,0.0,0.0,Low (<10%),0.000112142,0.0,0.0,Low (<10%),0.000151748,0.0,0.0,Low (<10%),0.000167123,0.0,0.0,Low (<10%),0.000183285,0.0,0.0,Low (<10%),0.000148976,0.0,0.0,Low (<10%),0.000170778,0.0,0.0,Low (<10%),0.00019604,0.0,0.0,Low (<10%),8
811103,4.9e-05,0.0,0.0,Low (<10%),3.87e-05,0.0,0.0,Low (<10%),3.42e-05,0.0,0.0,Low (<10%),4.96e-05,0.0,0.0,Low (<10%),5.89e-05,0.0,0.0,Low (<10%),7.21e-05,0.0,0.0,Low (<10%),4.89e-05,0.0,0.0,Low (<10%),5.97e-05,0.0,0.0,Low (<10%),6.67e-05,0.0,0.0,Low (<10%),8
811104,0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),0.0,0.0,0.0,Low (<10%),8
811105,2.84e-08,0.0,0.0,Low (<10%),2.74e-08,0.0,0.0,Low (<10%),2.55e-08,0.0,0.0,Low (<10%),2.87e-08,0.0,0.0,Low (<10%),2.64e-08,0.0,0.0,Low (<10%),2.59e-08,0.0,0.0,Low (<10%),2.75e-08,0.0,0.0,Low (<10%),2.68e-08,0.0,0.0,Low (<10%),2.42e-08,0.0,0.0,Low (<10%),8
811106,3.75e-09,0.0,0.0,Low (<10%),3.54e-09,0.0,0.0,Low (<10%),3.25e-09,0.0,0.0,Low (<10%),3.56e-09,0.0,0.0,Low (<10%),3.38e-09,0.0,0.0,Low (<10%),3.28e-09,0.0,0.0,Low (<10%),3.53e-09,0.0,0.0,Low (<10%),3.43e-09,0.0,0.0,Low (<10%),3.07e-09,0.0,0.0,Low (<10%),8
811107,2.93e-06,0.0,0.0,Low (<10%),2.82e-06,0.0,0.0,Low (<10%),2.55e-06,0.0,0.0,Low (<10%),2.94e-06,0.0,0.0,Low (<10%),2.81e-06,0.0,0.0,Low (<10%),2.63e-06,0.0,0.0,Low (<10%),2.85e-06,0.0,0.0,Low (<10%),2.71e-06,0.0,0.0,Low (<10%),2.46e-06,0.0,0.0,Low (<10%),8
811108,2.6e-08,0.0,0.0,Low (<10%),2.55e-08,0.0,0.0,Low (<10%),2.42e-08,0.0,0.0,Low (<10%),2.68e-08,0.0,0.0,Low (<10%),2.54e-08,0.0,0.0,Low (<10%),2.36e-08,0.0,0.0,Low (<10%),2.59e-08,0.0,0.0,Low (<10%),2.45e-08,0.0,0.0,Low (<10%),2.28e-08,0.0,0.0,Low (<10%),8
811109,2.2e-07,0.0,0.0,Low (<10%),2e-07,0.0,0.0,Low (<10%),1.73e-07,0.0,0.0,Low (<10%),2.33e-07,0.0,0.0,Low (<10%),2.01e-07,0.0,0.0,Low (<10%),1.85e-07,0.0,0.0,Low (<10%),2.17e-07,0.0,0.0,Low (<10%),1.93e-07,0.0,0.0,Low (<10%),1.68e-07,0.0,0.0,Low (<10%),8
811201,9.3e-07,0.0,0.0,Low (<10%),8.17e-07,0.0,0.0,Low (<10%),7.25e-07,0.0,0.0,Low (<10%),9.32e-07,0.0,0.0,Low (<10%),8.27e-07,0.0,0.0,Low (<10%),7.61e-07,0.0,0.0,Low (<10%),8.96e-07,0.0,0.0,Low (<10%),7.92e-07,0.0,0.0,Low (<10%),7e-07,0.0,0.0,Low (<10%),8
811202,3.95e-09,0.0,0.0,Low (<10%),3.49e-09,0.0,0.0,Low (<10%),3.09e-09,0.0,0.0,Low (<10%),4.05e-09,0.0,0.0,Low (<10%),3.59e-09,0.0,0.0,Low (<10%),3.29e-09,0.0,0.0,Low (<10%),3.93e-09,0.0,0.0,Low (<10%),3.4e-09,0.0,0.0,Low (<10%),3.01e-09,0.0,0.0,Low (<10%),8
811203,6.2e-05,0.0,0.0,Low (<10%),5.52e-05,0.0,0.0,Low (<10%),4.86e-05,0.0,0.0,Low (<10%),6.55e-05,0.0,0.0,Low (<10%),5.73e-05,0.0,0.0,Low (<10%),5.16e-05,0.0,0.0,Low (<10%),6.25e-05,0.0,0.0,Low (<10%),5.35e-05,0.0,0.0,Low (<10%),4.74e-05,0.0,0.0,Low (<10%),8
811204,0.001434385,0.0,0.0,Low (<10%),0.001240786,0.0,0.0,Low (<10%),0.001009522,0.0,0.0,Low (<10%),0.001620702,0.0,0.0,Low (<10%),0.001335661,0.0,0.0,Low (<10%),0.001280441,0.0,0.0,Low (<10%),0.001481075,0.0,0.0,Low (<10%),0.001251997,0.0,0.0,Low (<10%),0.001126338,0.0,0.0,Low (<10%),8
