id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,fips,nearest_plant_id,egrid_subregion,egrid_subregion_name,nearest_plant_dist_deg,nearest_plant_dist_km,qa_flag_distant_plant,SUBRGN,SRNAME,SRNGENAN,SRCO2RTA,SRC2ERTA,SRCO2AN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SRTNPR,SRTRPR,PSTATABB,STNGENAN,STCO2RTA,STC2ERTA,STCO2AN,STCLPR,STGSPR,STNCPR,STWIPR,STSOPR,STHYPR,STTNPR,STTRPR,bws_annual_mean_score,bws_annual_label,bws_state_score,bws_state_label,bws_state_category
751881301,District of Columbia,DC,11,District of Columbia,1,CoreSite,,CoreSite DC1,,-77.0291491,38.902887900000046,point,11001,57788,RFCE,RFC East,0.017196422198284426,1.9088028640095713,False,RFCE,RFC East,284874108.51,596.904,599.17,85021258.145,0.047,0.001,0.541,0.364,0.011,0.009,0.01,0.01,0.0,0.96,0.04,DC,171869.499,394.099,395.011,33866.772,0.0,0.519,0.0,0.0,0.143,0.0,0.519,0.481,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium
1825907839,New Mexico,NM,35,Bernalillo County,1,,,Southwest Cyberport,,-106.5893487,35.10329250000003,point,35001,50906,AZNM,WECC Southwest,0.040667769542247656,4.51412241918949,False,AZNM,WECC Southwest,175554659.519,703.703,706.189,61769179.175,0.111,0.0,0.487,0.18,0.026,0.003,0.077,0.082,0.036,0.777,0.223,NM,39258858.763,770.214,773.637,15118858.605,0.188,0.362,0.0,0.38,0.066,0.003,0.55,0.45,4.2,Extremely High (>80%),4.2,Extremely High (>80%),Extremely High
2590601520,Oregon,OR,41,Josephine County,33,,,FCR,,-123.3286299,42.43788240000002,point,41033,56193,NWPP,WECC Northwest,0.4319141100538027,47.9424662159721,False,NWPP,WECC Northwest,269253053.412,631.735,635.267,85048260.979,0.164,0.002,0.248,0.031,0.387,0.01,0.116,0.031,0.007,0.448,0.551,OR,61683300.013,364.162,364.963,11231359.308,0.0,0.379,0.0,0.145,0.031,0.427,0.38,0.621,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium
2607827436,California,CA,6,San Diego County,73,,,SDSU Computer Room,,-117.070888,32.77502519999998,point,06073,50061,CAMX,WECC California,0.0032920808070404477,0.3654209695814897,False,CAMX,WECC California,220986983.331,428.464,429.983,47342486.547,0.021,0.0,0.429,0.08,0.141,0.022,0.066,0.201,0.036,0.537,0.465,CA,216080235.825,393.486,394.769,42512302.212,0.001,0.437,0.082,0.065,0.188,0.148,0.527,0.476,4.0,Extremely High (>80%),4.0,Extremely High (>80%),Extremely High
3406467087,Florida,FL,12,Miami-Dade County,86,,,NocRoom Miami IT Services,,-80.3177484,25.791545299999996,point,12086,60006,FRCC,FRCC All,0.05443634190915927,6.042433951916679,False,FRCC,FRCC All,250055523.983,782.262,784.785,97804509.086,0.045,0.005,0.755,0.12,0.001,0.011,0.0,0.054,0.0,0.931,0.066,FL,258099011.95,786.645,789.133,101516103.816,0.044,0.759,0.116,0.0,0.054,0.001,0.929,0.067,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium
3406476814,Florida,FL,12,Miami-Dade County,86,,,NocRoom Miami IT Services,,-80.42343460000001,25.646561700000035,point,12086,61766,FRCC,FRCC All,0.06688802870505112,7.424571186260674,False,FRCC,FRCC All,250055523.983,782.262,784.785,97804509.086,0.045,0.005,0.755,0.12,0.001,0.011,0.0,0.054,0.0,0.931,0.066,FL,258099011.95,786.645,789.133,101516103.816,0.044,0.759,0.116,0.0,0.054,0.001,0.929,0.067,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium
3468203102,Louisiana,LA,22,East Baton Rouge Parish,33,,,Center for Computation & Technology (CCT),,-91.1725454,30.407445999999975,point,22033,58428,SRMV,SERC Mississippi Valley,0.009374505904847319,1.0405701554380524,False,SRMV,SERC Mississippi Valley,176359169.826,739.72,741.741,65228228.092,0.082,0.001,0.652,0.221,0.013,0.01,0.0,0.007,0.0,0.969,0.03,LA,97434806.41,761.404,763.068,37093620.722,0.05,0.76,0.125,0.0,0.003,0.007,0.964,0.031,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium
3732415309,Oregon,OR,41,Multnomah County,51,Alco Properties,,The Pittock Internet Exchange,,-122.68056199999998,45.52142480000003,point,41051,60112,NWPP,WECC Northwest,0.01875989074700023,2.0823478729170257,False,NWPP,WECC Northwest,269253053.412,631.735,635.267,85048260.979,0.164,0.002,0.248,0.031,0.387,0.01,0.116,0.031,0.007,0.448,0.551,OR,61683300.013,364.162,364.963,11231359.308,0.0,0.379,0.0,0.145,0.031,0.427,0.38,0.621,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium
4879481820,Georgia,GA,13,Fulton County,121,Google,,Google Fiber,,-84.3668585,33.77156769999996,point,13121,55152,SRSO,SERC South,0.019256808809873602,2.13750577789597,False,SRSO,SERC South,256144699.488,842.329,846.007,107879089.335,0.145,0.001,0.554,0.204,0.024,0.036,0.0,0.036,0.0,0.905,0.095,GA,129220273.258,713.831,717.445,46120743.102,0.13,0.465,0.289,0.0,0.058,0.017,0.886,0.114,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium
5146323411,California,CA,6,Alameda County,1,,,Open Computing Facility,,-122.25982310000002,37.86985210000005,point,06001,50849,CAMX,WECC California,0.0035790843549463472,0.39727836339904454,False,CAMX,WECC California,220986983.331,428.464,429.983,47342486.547,0.021,0.0,0.429,0.08,0.141,0.022,0.066,0.201,0.036,0.537,0.465,CA,216080235.825,393.486,394.769,42512302.212,0.001,0.437,0.082,0.065,0.188,0.148,0.527,0.476,4.0,Extremely High (>80%),4.0,Extremely High (>80%),Extremely High
5225685660,Virginia,VA,51,Lynchburg city,680,,,Lumos Networks,,-79.1427063,37.41568800000001,point,51680,3779,RFCW,RFC West,0.06453112771126886,7.162955175950843,False,RFCW,RFC West,524352082.167,911.424,916.054,238953647.793,0.25,0.003,0.378,0.284,0.01,0.003,0.055,0.008,0.0,0.923,0.076,VA,91024103.437,536.851,539.599,24433203.526,0.016,0.556,0.326,0.001,0.059,0.0,0.904,0.096,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium
6401035673,Oklahoma,OK,40,Oklahoma County,109,,,Rack59 Data Center,,-97.6497453,35.46720489999999,point,40109,50558,SPSO,SPP South,0.02507893254705483,2.7837615127230864,False,SPSO,SPP South,158074959.653,872.042,875.567,68923985.645,0.162,0.005,0.461,0.0,0.025,0.012,0.325,0.004,0.0,0.63,0.367,OK,88878115.88,647.207,648.834,28761252.735,0.057,0.506,0.0,0.416,0.001,0.016,0.564,0.436,2.8,Medium-High (20-40%),2.8,Medium-High (20-40%),Medium-High
