id,state,state_abb,county,county_id,operator,name,sqft,lon,lat,type,bws_annual_mean_score,bws_annual_label,bws_state_score,bws_state_label,bws_state_category,merge_method
751881301,District of Columbia,DC,District of Columbia,1,CoreSite,CoreSite DC1,,-77.0291491,38.902887900000046,point,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1825907839,New Mexico,NM,Bernalillo County,1,,Southwest Cyberport,,-106.5893487,35.10329250000003,point,4.2,Extremely High (>80%),4.2,Extremely High (>80%),Extremely High,state_level_fallback
2590601520,Oregon,OR,Josephine County,33,,FCR,,-123.3286299,42.43788240000002,point,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
2607827436,California,CA,San Diego County,73,,SDSU Computer Room,,-117.070888,32.77502519999998,point,4.0,Extremely High (>80%),4.0,Extremely High (>80%),Extremely High,state_level_fallback
3406467087,Florida,FL,Miami-Dade County,86,,NocRoom Miami IT Services,,-80.3177484,25.791545299999996,point,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
3406476814,Florida,FL,Miami-Dade County,86,,NocRoom Miami IT Services,,-80.42343460000001,25.646561700000035,point,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
3468203102,Louisiana,LA,East Baton Rouge Parish,33,,Center for Computation & Technology (CCT),,-91.1725454,30.407445999999975,point,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
3732415309,Oregon,OR,Multnomah County,51,Alco Properties,The Pittock Internet Exchange,,-122.68056199999998,45.52142480000003,point,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
4879481820,Georgia,GA,Fulton County,121,Google,Google Fiber,,-84.3668585,33.77156769999996,point,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
5146323411,California,CA,Alameda County,1,,Open Computing Facility,,-122.25982310000002,37.86985210000005,point,4.0,Extremely High (>80%),4.0,Extremely High (>80%),Extremely High,state_level_fallback
5225685660,Virginia,VA,Lynchburg city,680,,Lumos Networks,,-79.1427063,37.41568800000001,point,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
6401035673,Oklahoma,OK,Oklahoma County,109,,Rack59 Data Center,,-97.6497453,35.46720489999999,point,2.8,Medium-High (20-40%),2.8,Medium-High (20-40%),Medium-High,state_level_fallback
6625492701,New Mexico,NM,Bernalillo County,1,Oso Grande,Oso Grande,,-106.6536712,35.092501500000004,point,4.2,Extremely High (>80%),4.2,Extremely High (>80%),Extremely High,state_level_fallback
6685432442,Nevada,NV,Storey County,29,Switch,Switch Tahoe Reno - The Citadel Campus,,-119.4795921,39.51409629999995,point,3.8,High (40-80%),3.8,High (40-80%),High,state_level_fallback
6793837329,West Virginia,WV,Morgan County,65,,Morgan Wireless,,-78.2253196,39.63098509999999,point,0.8,Low (<10%),0.8,Low (<10%),Low,state_level_fallback
6856057098,Texas,TX,Dallas County,113,,VIRTBIZ,,-96.7828145,32.7825463,point,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
7171975407,Maine,ME,Cumberland County,5,FirstLight,FirstLight Data Center,,-70.26137850000002,43.657838799999986,point,0.3,Low (<10%),0.3,Low (<10%),Low,state_level_fallback
7264976228,Indiana,IN,Tippecanoe County,157,,Learning GIS!,,-86.9141546,40.42178999999997,point,1.3,Low-Medium (10-20%),1.3,Low-Medium (10-20%),Low-Medium,state_level_fallback
7264976991,Indiana,IN,Tippecanoe County,157,,Agricultural and Biological Engineering,,-86.9165454,40.4218543,point,1.3,Low-Medium (10-20%),1.3,Low-Medium (10-20%),Low-Medium,state_level_fallback
7324132050,North Carolina,NC,Durham County,63,,Windstream Communications,,-78.851552,35.88139699999996,point,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
7324132051,North Carolina,NC,Durham County,63,,Level 3 Communications,,-78.8515726,35.88136400000003,point,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
7557854384,Arizona,AZ,Maricopa County,13,,OptimumHQ,,-111.7526684,33.38041490000001,point,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
7557868585,Arizona,AZ,Maricopa County,13,,The Chatfield Group,,-111.7528888,33.38060100000002,point,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
7578821329,Arizona,AZ,Maricopa County,13,,All About Serving Process Server,,-111.809686,33.31991570000004,point,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
7737996606,Arizona,AZ,Maricopa County,13,,Emailage,,-111.8405386,33.30296499999996,point,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
7821940847,Arizona,AZ,Maricopa County,13,,Alliance Technology,,-111.728405,33.37998619999999,point,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
7985753364,Virginia,VA,Fairfax County,59,Digital Realty,8100 Boone Boulevard,,-77.2258825,38.91372360000001,point,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
