state,state_abb,dc_count,total_sqft,mean_co2_rate,mean_co2eq_rate,state_co2_rate,state_renewable_pct
Virginia,VA,319,98744082.0,594.4923542319749,597.3906896551724,536.851,0.096
Texas,TX,127,40212187.0,733.9081259842519,736.6692519685039,768.317,0.274
California,CA,112,7473784.0,428.464,429.983,393.486,0.476
Oregon,OR,109,53124693.0,631.735,635.267,364.162,0.621
Ohio,OH,91,79314189.0,911.424,916.0540000000001,1063.843,0.038
Washington,WA,82,35289624.0,631.735,635.267,265.119,0.686
Arizona,AZ,65,43493083.0,703.703,706.189,686.688,0.138
Iowa,IA,63,56025043.0,920.13,926.552,630.187,0.617
New Jersey,NJ,53,8052503.0,590.2093773584905,592.4455849056603,468.31,0.032
Illinois,IL,50,22220623.0,924.5606,929.35512,471.705,0.135
Nevada,NV,38,7807466.0,673.4006842105263,676.3271052631579,642.37,0.368
Georgia,GA,37,22196528.0,842.329,846.007,713.831,0.114
Nebraska,NE,26,47178110.0,920.13,926.5519999999999,1018.154,0.334
North Carolina,NC,23,16923053.0,593.419,596.326,623.958,0.141
Tennessee,TN,22,50601005.0,898.0789999999998,903.306,657.267,0.115
New York,NY,21,1208800.0,538.0322857142858,539.4761428571428,465.136,0.297
Colorado,CO,20,1463459.0,1036.601,1042.539,1085.021,0.373
Wyoming,WY,19,21744841.0,1036.601,1042.539,1820.318,0.225
Florida,FL,16,594424.0,782.262,784.785,786.645,0.067
New Mexico,NM,16,25156896.0,703.703,706.189,770.214,0.45
Utah,UT,15,25501493.0,631.735,635.267,1413.019,0.181
Missouri,MO,15,15013974.0,987.9456666666666,994.6873333333334,1444.137,0.117
Maryland,MD,13,522848.0,621.0978461538461,623.5456923076922,520.022,0.1
Wisconsin,WI,13,18434325.0,1098.974076923077,1104.9034615384614,1156.996,0.095
South Carolina,SC,12,14133358.0,593.419,596.326,557.173,0.062
Alabama,AL,11,24800422.0,887.9426363636362,892.888,710.988,0.092
Minnesota,MN,11,11583531.0,920.13,926.552,747.545,0.321
Michigan,MI,10,270036.0,970.617,975.9779999999998,793.171,0.101
Pennsylvania,PA,9,609890.0,666.7973333333333,669.5886666666667,645.773,0.03
Kansas,KS,7,566344.0,861.999,867.74,728.16,0.469
Oklahoma,OK,6,549376.0,872.042,875.567,647.207,0.436
Connecticut,CT,5,277253.0,539.275,543.178,538.266,0.037
Idaho,ID,5,16659915.0,631.735,635.267,313.292,0.677
Indiana,IN,5,231317.0,911.424,916.0539999999999,1457.19,0.127
Kentucky,KY,5,752852.0,900.7479999999999,905.8556000000001,1735.009,0.073
New Hampshire,NH,3,47602.0,539.275,543.178,272.854,0.166
Massachusetts,MA,3,308979.0,539.275,543.178,822.39,0.196
Arkansas,AR,2,36425.0,739.72,741.741,993.413,0.077
Puerto Rico,PR,2,23137.0,1543.073,1548.53,1543.073,0.023
South Dakota,SD,2,299088.0,920.13,926.552,334.032,0.787
Mississippi,MS,2,17394333.0,818.8995,822.5235,826.335,0.027
Maine,ME,2,55383.0,539.275,543.178,311.824,0.651
North Dakota,ND,2,2731968.0,920.13,926.552,1288.364,0.394
Montana,MT,2,10003.0,775.9325,780.9095,1056.167,0.506
Louisiana,LA,1,0.0,739.72,741.741,761.404,0.031
District of Columbia,DC,1,0.0,596.904,599.17,394.099,0.481
West Virginia,WV,1,0.0,596.904,599.17,1954.383,0.069
