state,state_abb,county,county_id,fips,dc_count,total_sqft,mean_sqft,co2_rate_lb_mwh,co2eq_rate_lb_mwh,renewable_pct,nonrenewable_pct,co2_rate_lb_mwh_sqftw,co2_rate_lb_mwh_mww,sqft_coverage_pct,mw_coverage_pct,mean_lat,mean_lon,bws_category_mode,egrid_subregion
Virginia,VA,Loudoun County,107,51107,213,58653497.0,279302.36666666664,593.419,596.326,0.099,0.9000000000000004,593.419,,98.59154929577466,4.225352112676056,39.001605737654415,-77.47073428067318,Low,SRVC
California,CA,Santa Clara County,85,06085,75,5173320.0,73904.57142857143,428.464,429.98300000000006,0.4650000000000001,0.537,428.464,,93.33333333333333,4.0,37.37245097262468,-121.95222074539362,Low-Medium,CAMX
Arizona,AZ,Maricopa County,13,04013,63,43471171.0,905649.3958333334,703.7030000000002,706.1889999999999,0.22300000000000011,0.7770000000000001,703.703,,76.19047619047619,9.523809523809524,33.40115651280949,-111.88557280277665,Extremely High,AZNM
Virginia,VA,Prince William County,153,51153,63,12076104.0,194775.87096774194,593.4190000000002,596.3260000000001,0.09900000000000002,0.8999999999999999,593.419,,98.4126984126984,1.5873015873015872,38.77214409025533,-77.55179097915374,High,SRVC
Washington,WA,Grant County,25,53025,39,26765399.0,686292.282051282,631.7350000000001,635.267,0.5509999999999997,0.448,631.735,,100.0,2.564102564102564,47.24344625440554,-119.8487469823896,Extremely High,NWPP
Ohio,OH,Franklin County,49,39049,33,42091792.0,1275508.8484848484,911.424,916.054,0.076,0.923,911.4239999999998,,100.0,12.121212121212121,40.055336048260564,-83.04872190729674,Medium-High,RFCW
Texas,TX,Bexar County,29,48029,33,5211409.0,157921.48484848486,733.862,736.629,0.287,0.712,733.862,,100.0,0.0,29.45628909691318,-98.67164759642486,High,ERCT
Ohio,OH,Licking County,89,39089,32,9590723.0,299710.09375,911.424,916.054,0.076,0.923,911.4239999999998,,100.0,3.125,40.08074442436493,-82.74870230341463,Medium-High,RFCW
Oregon,OR,Umatilla County,59,41059,31,4442895.0,143319.1935483871,631.7350000000001,635.267,0.5509999999999999,0.4480000000000001,631.7350000000004,,100.0,0.0,45.88203526956203,-119.29362444784249,High,NWPP
Illinois,IL,Cook County,31,17031,29,5962351.0,259232.65217391305,911.4239999999999,916.054,0.07600000000000001,0.9230000000000004,911.4240000000001,,79.3103448275862,13.793103448275861,41.935604883163435,-87.82362468080369,High,RFCW
Oregon,OR,Morrow County,49,41049,28,5192302.0,185439.35714285713,631.735,635.267,0.551,0.44800000000000006,631.7350000000001,,100.0,0.0,45.8435795163462,-119.63595970144794,Low,NWPP
