id,state,state_abb,state_id,county,county_id,fips,operator,ref,name,sqft,lon,lat,type,egrid_subregion,egrid_subregion_name,egrid_assignment_method,qa_multi_subregion,nearest_plant_id,nearest_plant_km,nearest_plant_subregion,qa_flag_distant_plant,SRNGENAN,SRCO2RTA,SRC2ERTA,SRCO2AN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SRTNPR,SRTRPR,STNGENAN,STCO2RTA,STC2ERTA,STCO2AN,STCLPR,STGSPR,STNCPR,STWIPR,STSOPR,STHYPR,STTNPR,STTRPR
00751881301,District of Columbia,DC,11,District of Columbia,1,11001,CoreSite,,CoreSite DC1,,-77.0291491,38.902887900000046,point,RFCE,RFC East,pip,False,63478,1.895943681486544,RFCE,False,284874108.51,596.904,599.17,85021258.145,0.047,0.001,0.541,0.364,0.011,0.009,0.01,0.01,0.0,0.96,0.04,171869.499,394.099,395.011,33866.772,0.0,0.519,0.0,0.0,0.143,0.0,0.519,0.481
01825907839,New Mexico,NM,35,Bernalillo County,1,35001,,,Southwest Cyberport,,-106.5893487,35.10329250000003,point,AZNM,WECC Southwest,pip,False,50906,3.898571076941091,AZNM,False,175554659.519,703.703,706.189,61769179.175,0.111,0.0,0.487,0.18,0.026,0.003,0.077,0.082,0.036,0.777,0.223,39258858.763,770.214,773.637,15118858.605,0.188,0.362,0.0,0.38,0.066,0.003,0.55,0.45
02590601520,Oregon,OR,41,Josephine County,33,41033,,,FCR,,-123.3286299,42.43788240000002,point,NWPP,WECC Northwest,pip,False,56193,36.000992638371294,NWPP,False,269253053.412,631.735,635.267,85048260.979,0.164,0.002,0.248,0.031,0.387,0.01,0.116,0.031,0.007,0.448,0.551,61683300.013,364.162,364.963,11231359.308,0.0,0.379,0.0,0.145,0.031,0.427,0.38,0.621
02607827436,California,CA,6,San Diego County,73,06073,,,SDSU Computer Room,,-117.070888,32.77502519999998,point,CAMX,WECC California,pip,False,50061,0.363085924769147,CAMX,False,220986983.331,428.464,429.983,47342486.547,0.021,0.0,0.429,0.08,0.141,0.022,0.066,0.201,0.036,0.537,0.465,216080235.825,393.486,394.769,42512302.212,0.001,0.437,0.082,0.065,0.188,0.148,0.527,0.476
03406467087,Florida,FL,12,Miami-Dade County,86,12086,,,NocRoom Miami IT Services,,-80.3177484,25.791545299999996,point,FRCC,FRCC All,pip,False,60006,5.549190777226802,FRCC,False,250055523.983,782.262,784.785,97804509.086,0.045,0.005,0.755,0.12,0.001,0.011,0.0,0.054,0.0,0.931,0.066,258099011.95,786.645,789.133,101516103.816,0.044,0.759,0.116,0.0,0.054,0.001,0.929,0.067
03406476814,Florida,FL,12,Miami-Dade County,86,12086,,,NocRoom Miami IT Services,,-80.42343460000001,25.646561700000035,point,FRCC,FRCC All,pip,False,61766,6.71248864688765,FRCC,False,250055523.983,782.262,784.785,97804509.086,0.045,0.005,0.755,0.12,0.001,0.011,0.0,0.054,0.0,0.931,0.066,258099011.95,786.645,789.133,101516103.816,0.044,0.759,0.116,0.0,0.054,0.001,0.929,0.067
03468203102,Louisiana,LA,22,East Baton Rouge Parish,33,22033,,,Center for Computation & Technology (CCT),,-91.1725454,30.407445999999975,point,SRMV,SERC Mississippi Valley,pip,False,58428,0.9158828742858438,SRMV,False,176359169.826,739.72,741.741,65228228.092,0.082,0.001,0.652,0.221,0.013,0.01,0.0,0.007,0.0,0.969,0.03,97434806.41,761.404,763.068,37093620.722,0.05,0.76,0.125,0.0,0.003,0.007,0.964,0.031
03732415309,Oregon,OR,41,Multnomah County,51,41051,Alco Properties,,The Pittock Internet Exchange,,-122.68056199999998,45.52142480000003,point,NWPP,WECC Northwest,pip,False,60112,1.564343280815461,NWPP,False,269253053.412,631.735,635.267,85048260.979,0.164,0.002,0.248,0.031,0.387,0.01,0.116,0.031,0.007,0.448,0.551,61683300.013,364.162,364.963,11231359.308,0.0,0.379,0.0,0.145,0.031,0.427,0.38,0.621
04879481820,Georgia,GA,13,Fulton County,121,13121,Google,,Google Fiber,,-84.3668585,33.77156769999996,point,SRSO,SERC South,pip,False,55152,1.7805870642450972,SRSO,False,256144699.488,842.329,846.007,107879089.335,0.145,0.001,0.554,0.204,0.024,0.036,0.0,0.036,0.0,0.905,0.095,129220273.258,713.831,717.445,46120743.102,0.13,0.465,0.289,0.0,0.058,0.017,0.886,0.114
05146323411,California,CA,6,Alameda County,1,06001,,,Open Computing Facility,,-122.25982310000002,37.86985210000005,point,CAMX,WECC California,pip,False,50849,0.31586068476539425,CAMX,False,220986983.331,428.464,429.983,47342486.547,0.021,0.0,0.429,0.08,0.141,0.022,0.066,0.201,0.036,0.537,0.465,216080235.825,393.486,394.769,42512302.212,0.001,0.437,0.082,0.065,0.188,0.148,0.527,0.476
05225685660,Virginia,VA,51,Lynchburg city,680,51680,,,Lumos Networks,,-79.1427063,37.41568800000001,point,RFCW,RFC West,pip_overlap_plant_tiebreak,True,3779,6.563614015357682,RFCW,False,524352082.167,911.424,916.054,238953647.793,0.25,0.003,0.378,0.284,0.01,0.003,0.055,0.008,0.0,0.923,0.076,91024103.437,536.851,539.599,24433203.526,0.016,0.556,0.326,0.001,0.059,0.0,0.904,0.096
