id,mw_capacity,mw_source,match_dist_m,ft_status,qa_operator_mismatch
08109664813,5.0,fractracker_2026-07-10,10.3,Operating,False
09808044830,,fractracker_2026-07-10,59.1,Operating,True
09808044840,,fractracker_2026-07-10,8.0,Operating,False
11167641842,0.8,fractracker_2026-07-10,27.7,Operating,True
11168593094,1.5,fractracker_2026-07-10,69.8,Operating,False
12221880448,0.74,fractracker_2026-07-10,11.2,Operating,True
12331366645,10.0,fractracker_2026-07-10,17.7,Operating,False
12766117170,10.0,fractracker_2026-07-10,14.4,Operating,False
12793428582,,fractracker_2026-07-10,359.1,Operating,True
13409186015,4.0,fractracker_2026-07-10,51.2,Operating,True
00300974499,,fractracker_2026-07-10,10.4,Operating,False
01386926534,1400.0,fractracker_2026-07-10,21.1,Expanding,False
01160814416,,fractracker_2026-07-10,64.8,Operating,False
01381264361,498.0,fractracker_2026-07-10,27.1,Operating,False
00269847438,0.0,fractracker_2026-07-10,192.3,Operating,False
00671301768,691.0,fractracker_2026-07-10,36.4,Operating,False
00500820007,,fractracker_2026-07-10,276.6,Operating,False
01253282101,,fractracker_2026-07-10,336.0,Operating,False
01184066765,,fractracker_2026-07-10,360.1,Operating,False
01132541700,,fractracker_2026-07-10,63.9,Operating,False
00155739337,180.0,fractracker_2026-07-10,17.0,Operating,False
00435817145,,fractracker_2026-07-10,6.6,Operating,True
00794147654,144.0,fractracker_2026-07-10,14.9,Operating,False
00364289074,,fractracker_2026-07-10,170.6,Operating,False
01381994242,,fractracker_2026-07-10,30.6,Operating,True
00195664350,,fractracker_2026-07-10,38.8,Operating,False
00468707940,200.0,fractracker_2026-07-10,55.7,Approved/Permitted/Under construction,False
00649319778,,fractracker_2026-07-10,3.1,Operating,False
00882977350,,fractracker_2026-07-10,23.7,Operating,False
01317733642,,fractracker_2026-07-10,86.5,Operating,False
00793087858,,fractracker_2026-07-10,38.3,Operating,False
00387379196,30.0,fractracker_2026-07-10,8.2,Operating,False
00996899489,,fractracker_2026-07-10,29.6,Operating,False
00380282154,,fractracker_2026-07-10,54.6,Operating,False
00918873142,12.0,fractracker_2026-07-10,19.3,Operating,False
00649365764,,fractracker_2026-07-10,22.7,Operating,True
00172739953,495.0,fractracker_2026-07-10,154.0,Operating,False
01312792613,,fractracker_2026-07-10,273.0,Operating,False
00883809860,,fractracker_2026-07-10,26.2,Operating,False
00975064000,,fractracker_2026-07-10,27.8,Operating,False
01258702591,36.0,fractracker_2026-07-10,4.9,Operating,False
00387378765,26.0,fractracker_2026-07-10,17.4,Operating,False
00025706343,,fractracker_2026-07-10,66.5,Operating,False
00526806006,147.0,fractracker_2026-07-10,47.0,Operating,False
00298126010,,fractracker_2026-07-10,10.7,Expanding,False
01173770902,,fractracker_2026-07-10,121.0,Expanding,True
01252196814,,fractracker_2026-07-10,218.3,Operating,False
01252196815,,fractracker_2026-07-10,76.6,Operating,True
00701923204,,fractracker_2026-07-10,75.9,Operating,False
01426525184,,fractracker_2026-07-10,495.8,Operating,False
01007825570,74.0,fractracker_2026-07-10,115.1,Operating,False
01300765126,,fractracker_2026-07-10,333.7,Operating,True
00507673437,,fractracker_2026-07-10,281.2,Expanding,False
00321385147,,fractracker_2026-07-10,29.4,Operating,False
00990537858,135.0,fractracker_2026-07-10,70.9,Expanding,False
00435324552,48.0,fractracker_2026-07-10,13.4,Operating,False
00543316327,40.0,fractracker_2026-07-10,89.0,Expanding,True
00046831933,,fractracker_2026-07-10,18.0,Operating,False
01227777116,,fractracker_2026-07-10,22.5,Operating,False
00052059176,25.0,fractracker_2026-07-10,341.8,Expanding,True
01059036248,,fractracker_2026-07-10,61.1,Operating,False
00794147655,,fractracker_2026-07-10,57.2,Operating,True
01173569101,200.0,fractracker_2026-07-10,184.6,Approved/Permitted/Under construction,False
00079818498,,fractracker_2026-07-10,57.3,Expanding,False
00713410334,7.0,fractracker_2026-07-10,9.7,Operating,False
01426525215,350.0,fractracker_2026-07-10,217.7,Approved/Permitted/Under construction,True
01091128478,,fractracker_2026-07-10,268.2,Expanding,False
00019787207,,fractracker_2026-07-10,15.2,Expanding,False
00701923202,,fractracker_2026-07-10,93.5,Operating,False
01128589933,,fractracker_2026-07-10,205.1,Operating,False
00507673418,,fractracker_2026-07-10,89.5,Operating,True
01124864831,,fractracker_2026-07-10,46.9,Operating,False
01075278060,,fractracker_2026-07-10,141.9,Operating,False
01173822721,,fractracker_2026-07-10,93.3,Operating,True
01443187163,,fractracker_2026-07-10,69.0,Operating,False
00028544618,,fractracker_2026-07-10,31.4,Operating,True
01283734104,176.0,fractracker_2026-07-10,126.5,Approved/Permitted/Under construction,True
01235150788,17.0,fractracker_2026-07-10,41.7,Operating,True
01010260676,,fractracker_2026-07-10,174.5,Operating,False
00222672860,,fractracker_2026-07-10,14.5,Operating,False
01472128597,500.0,fractracker_2026-07-10,146.4,Approved/Permitted/Under construction,False
00300162675,,fractracker_2026-07-10,42.0,Operating,False
00938592711,,fractracker_2026-07-10,196.0,Approved/Permitted/Under construction,False
00701924664,,fractracker_2026-07-10,6.5,Operating,False
01025002889,,fractracker_2026-07-10,163.9,Operating,False
00863162820,32.0,fractracker_2026-07-10,12.1,Operating,False
00996723589,,fractracker_2026-07-10,37.0,Operating,True
00996899487,,fractracker_2026-07-10,115.7,Operating,False
01134911640,,fractracker_2026-07-10,47.4,Operating,True
01134911641,,fractracker_2026-07-10,73.1,Operating,True
01097502168,23.0,fractracker_2026-07-10,91.9,Operating,False
01252196825,,fractracker_2026-07-10,24.4,Operating,True
01088241977,,fractracker_2026-07-10,25.3,Operating,False
00652034566,,fractracker_2026-07-10,73.4,Operating,False
01221862807,,fractracker_2026-07-10,41.7,Operating,True
01443922535,48.0,fractracker_2026-07-10,49.6,Operating,False
01383913490,40.0,fractracker_2026-07-10,22.8,Operating,False
00364289077,,fractracker_2026-07-10,73.0,Operating,True
01217649348,42.0,fractracker_2026-07-10,19.8,Operating,False
00460167186,,fractracker_2026-07-10,63.4,Operating,False
01344901575,,fractracker_2026-07-10,5.7,Operating,False
00298242260,,fractracker_2026-07-10,103.9,Operating,False
01238955720,7.0,fractracker_2026-07-10,108.8,Operating,False
01304357577,,fractracker_2026-07-10,24.0,Operating,False
00693381106,,fractracker_2026-07-10,54.3,Operating,False
01283698132,,fractracker_2026-07-10,180.7,Operating,False
01080170580,36.0,fractracker_2026-07-10,25.0,Operating,False
00300969616,,fractracker_2026-07-10,4.7,Operating,False
00059294476,,fractracker_2026-07-10,25.3,Operating,False
01319637945,,fractracker_2026-07-10,32.2,Operating,False
00844389014,,fractracker_2026-07-10,430.4,Operating,False
00996723586,280.0,fractracker_2026-07-10,90.2,Operating,False
01219083554,36.0,fractracker_2026-07-10,12.5,Approved/Permitted/Under construction,False
00673532692,73.0,fractracker_2026-07-10,154.6,Expanding,False
01188715510,,fractracker_2026-07-10,80.1,Operating,False
01003348567,,fractracker_2026-07-10,9.2,Operating,False
01132632705,42.0,fractracker_2026-07-10,202.6,Operating,False
01314012931,100.0,fractracker_2026-07-10,29.5,Approved/Permitted/Under construction,False
00989735624,,fractracker_2026-07-10,36.1,Operating,False
00701930919,,fractracker_2026-07-10,15.3,Operating,False
01090837713,,fractracker_2026-07-10,20.9,Operating,False
01188680253,,fractracker_2026-07-10,23.0,Operating,False
00828135845,,fractracker_2026-07-10,28.5,Operating,False
01188680247,,fractracker_2026-07-10,14.1,Operating,False
00460050155,,fractracker_2026-07-10,39.4,Operating,False
00298242335,,fractracker_2026-07-10,4.1,Operating,True
01238955733,24.0,fractracker_2026-07-10,3.4,Operating,True
00701930921,,fractracker_2026-07-10,32.1,Operating,True
00701929066,,fractracker_2026-07-10,57.7,Operating,False
00299929061,,fractracker_2026-07-10,2.4,Operating,True
00701930929,,fractracker_2026-07-10,25.6,Operating,False
00465062053,,fractracker_2026-07-10,49.6,Operating,True
00337127817,,fractracker_2026-07-10,48.7,Operating,False
00465062052,,fractracker_2026-07-10,61.6,Operating,True
00701930930,,fractracker_2026-07-10,9.5,Operating,True
00093210344,5.0,fractracker_2026-07-10,7.4,Operating,True
00777196805,,fractracker_2026-07-10,394.4,Operating,False
01188691869,,fractracker_2026-07-10,13.3,Operating,False
00490997243,,fractracker_2026-07-10,76.5,Operating,False
00708916484,85.0,fractracker_2026-07-10,9.5,Approved/Permitted/Under construction,False
00544596573,,fractracker_2026-07-10,48.8,Operating,False
01081973944,,fractracker_2026-07-10,225.4,Operating,False
00793622740,,fractracker_2026-07-10,62.9,Operating,False
00499403699,82.0,fractracker_2026-07-10,52.2,Operating,False
00300163083,,fractracker_2026-07-10,11.5,Operating,False
00299927846,,fractracker_2026-07-10,38.3,Operating,False
00079298926,,fractracker_2026-07-10,32.4,Operating,False
01287260558,,fractracker_2026-07-10,39.7,Expanding,False
00383888914,,fractracker_2026-07-10,42.0,Operating,True
00697020849,,fractracker_2026-07-10,7.6,Operating,False
01188680254,,fractracker_2026-07-10,26.4,Operating,False
00052094294,,fractracker_2026-07-10,12.4,Operating,True
00300969614,,fractracker_2026-07-10,11.4,Operating,False
01252196826,,fractracker_2026-07-10,48.9,Expanding,False
00300969617,,fractracker_2026-07-10,12.2,Operating,False
01188680255,,fractracker_2026-07-10,55.1,Operating,True
01343764882,,fractracker_2026-07-10,85.9,Expanding,False
00984953813,,fractracker_2026-07-10,51.2,Operating,True
00984953814,,fractracker_2026-07-10,9.1,Operating,True
00793888427,,fractracker_2026-07-10,134.3,Operating,False
00930849744,,fractracker_2026-07-10,18.7,Operating,True
01020877488,,fractracker_2026-07-10,50.1,Expanding,True
01188715508,,fractracker_2026-07-10,2.5,Operating,False
00273895868,,fractracker_2026-07-10,16.9,Operating,False
01344901568,,fractracker_2026-07-10,9.1,Operating,False
01301654223,,fractracker_2026-07-10,43.6,Operating,False
00038305431,72.0,fractracker_2026-07-10,240.6,Expanding,True
01344901567,,fractracker_2026-07-10,52.5,Operating,False
00278560778,,fractracker_2026-07-10,16.0,Operating,False
00224100721,,fractracker_2026-07-10,11.0,Operating,True
00701924665,,fractracker_2026-07-10,37.8,Operating,False
00460060340,,fractracker_2026-07-10,12.5,Operating,False
00460060341,,fractracker_2026-07-10,2.1,Operating,False
00300969250,,fractracker_2026-07-10,8.8,Operating,False
00793888429,32.0,fractracker_2026-07-10,28.5,Expanding,False
00214321737,,fractracker_2026-07-10,33.6,Expanding,True
01134911642,,fractracker_2026-07-10,9.5,Operating,False
01227614670,,fractracker_2026-07-10,34.1,Operating,True
00045776978,,fractracker_2026-07-10,18.6,Operating,False
00597876724,6.8,fractracker_2026-07-10,26.4,Operating,False
00254773884,,fractracker_2026-07-10,3.6,Operating,False
01252196797,,fractracker_2026-07-10,132.6,Expanding,False
00863162825,15.0,fractracker_2026-07-10,55.9,Operating,False
00334264478,,fractracker_2026-07-10,12.0,Operating,True
01252196798,,fractracker_2026-07-10,69.9,Approved/Permitted/Under construction,True
00460059465,,fractracker_2026-07-10,20.1,Operating,False
01460776171,,fractracker_2026-07-10,118.9,Expanding,False
00300969615,,fractracker_2026-07-10,11.1,Operating,True
00958153770,13.0,fractracker_2026-07-10,19.7,Operating,False
00697020850,,fractracker_2026-07-10,5.8,Operating,False
00978934687,,fractracker_2026-07-10,25.5,Operating,False
01276518679,,fractracker_2026-07-10,41.6,Operating,False
00048242814,,fractracker_2026-07-10,5.0,Operating,True
00597970806,,fractracker_2026-07-10,81.4,Operating,False
01000784035,,fractracker_2026-07-10,11.7,Operating,True
01059030596,,fractracker_2026-07-10,34.8,Operating,True
01217649350,,fractracker_2026-07-10,35.4,Approved/Permitted/Under construction,False
01178609569,7.2,fractracker_2026-07-10,65.8,Operating,False
00597876798,6.7,fractracker_2026-07-10,31.8,Operating,True
00045776988,,fractracker_2026-07-10,5.8,Operating,False
00452116337,,fractracker_2026-07-10,6.4,Operating,True
01443922528,,fractracker_2026-07-10,101.0,Expanding,False
00793087859,,fractracker_2026-07-10,94.5,Operating,False
01344369104,,fractracker_2026-07-10,24.1,Approved/Permitted/Under construction,True
00396296733,,fractracker_2026-07-10,29.2,Operating,False
01059037051,,fractracker_2026-07-10,57.1,Operating,False
00744491691,,fractracker_2026-07-10,25.9,Operating,True
00460056024,,fractracker_2026-07-10,3.8,Operating,True
01181391921,,fractracker_2026-07-10,58.3,Operating,True
00794147657,,fractracker_2026-07-10,32.2,Operating,False
00958662382,,fractracker_2026-07-10,23.2,Operating,False
00744496741,,fractracker_2026-07-10,48.6,Operating,False
00509611432,,fractracker_2026-07-10,57.9,Operating,False
01462886682,18.0,fractracker_2026-07-10,64.0,Operating,False
00205724885,4.5,fractracker_2026-07-10,397.5,Operating,False
00860433344,12.0,fractracker_2026-07-10,73.2,Operating,False
00596690175,,fractracker_2026-07-10,117.3,Operating,False
01088203907,,fractracker_2026-07-10,23.1,Operating,True
00079158387,,fractracker_2026-07-10,16.9,Operating,False
00258343749,,fractracker_2026-07-10,15.0,Operating,False
00052094270,,fractracker_2026-07-10,8.3,Operating,True
00325096144,,fractracker_2026-07-10,66.1,Operating,False
00775412073,,fractracker_2026-07-10,369.3,Operating,False
01287260556,,fractracker_2026-07-10,55.7,Operating,False
00465032380,12.0,fractracker_2026-07-10,55.1,Operating,True
00954433119,,fractracker_2026-07-10,19.0,Operating,True
00258343744,,fractracker_2026-07-10,6.6,Operating,False
00225745958,,fractracker_2026-07-10,17.3,Expanding,False
01276518687,,fractracker_2026-07-10,91.2,Operating,True
00234722720,42.0,fractracker_2026-07-10,30.2,Operating,False
01460847458,72.0,fractracker_2026-07-10,55.6,Operating,False
01276518684,72.0,fractracker_2026-07-10,14.0,Operating,False
00368724474,,fractracker_2026-07-10,15.6,Expanding,False
00052094269,,fractracker_2026-07-10,8.1,Operating,True
00796933516,,fractracker_2026-07-10,22.6,Operating,False
00460056020,,fractracker_2026-07-10,51.9,Operating,True
00284044002,2.0,fractracker_2026-07-10,2.1,Operating,False
00549418041,,fractracker_2026-07-10,29.6,Operating,False
00039083797,6.0,fractracker_2026-07-10,4.0,Operating,False
00610977485,,fractracker_2026-07-10,12.4,Operating,False
00251716328,,fractracker_2026-07-10,12.1,Operating,True
00465042594,,fractracker_2026-07-10,50.8,Operating,False
00509611437,,fractracker_2026-07-10,30.4,Operating,False
00124088810,1.35,fractracker_2026-07-10,8.3,Operating,True
00247428943,10.0,fractracker_2026-07-10,16.2,Operating,False
00548184239,3.75,fractracker_2026-07-10,9.9,Operating,False
00537172526,,fractracker_2026-07-10,149.2,Approved/Permitted/Under construction,False
01109881281,,fractracker_2026-07-10,46.7,Operating,False
00168129695,5.0,fractracker_2026-07-10,8.1,Operating,False
00298127059,,fractracker_2026-07-10,50.1,Operating,False
00224174031,,fractracker_2026-07-10,17.7,Operating,True
00551387747,30.0,fractracker_2026-07-10,12.7,Operating,False
00509611423,,fractracker_2026-07-10,70.3,Operating,False
00300959969,32.0,fractracker_2026-07-10,29.0,Operating,False
00471658485,,fractracker_2026-07-10,407.0,Operating,True
00300162689,,fractracker_2026-07-10,110.8,Operating,True
00052958203,,fractracker_2026-07-10,27.0,Operating,True
00696978351,,fractracker_2026-07-10,179.2,Operating,False
00231664575,,fractracker_2026-07-10,40.4,Operating,False
00273896089,,fractracker_2026-07-10,30.4,Operating,False
00221897579,,fractracker_2026-07-10,11.1,Operating,False
