state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
Virginia,VA,Loudoun County,107,213,58653497.0,0.3656449167663439,Low,39.001605737654415,-77.47073428067318,Low (<10%)
California,CA,Santa Clara County,85,75,5173320.0,1.292202410374085,Low-Medium,37.37245097262468,-121.95222074539359,Low-Medium (10-20%)
Arizona,AZ,Maricopa County,13,63,43471171.0,4.8074166853403915,Extremely High,33.4011565128095,-111.88557280277666,Extremely High (>80%)
Virginia,VA,Prince William County,153,63,12076104.0,3.5565707271080385,High,38.772144090255345,-77.55179097915374,High (40-80%)
Washington,WA,Grant County,25,39,26765399.0,4.722321888747698,Extremely High,47.24344625440555,-119.8487469823896,Extremely High (>80%)
Ohio,OH,Franklin County,49,33,42091792.0,2.805350474308474,Medium-High,40.055336048260564,-83.04872190729674,Medium-High (20-40%)
Texas,TX,Bexar County,29,33,5211409.0,3.956580232015228,High,29.45628909691318,-98.67164759642486,High (40-80%)
Ohio,OH,Licking County,89,32,9590723.0,2.6744410917552184,Medium-High,40.08074442436493,-82.74870230341463,Medium-High (20-40%)
Oregon,OR,Umatilla County,59,31,4442895.0,2.0670678524916184,High,45.882035269562024,-119.2936244478425,High (40-80%)
Illinois,IL,Cook County,31,29,5962351.0,3.396530872488637,High,41.935604883163435,-87.8236246808037,High (40-80%)
Oregon,OR,Morrow County,49,28,5192302.0,0.0,Low,45.8435795163462,-119.63595970144794,Low (<10%)
Virginia,VA,Fairfax County,59,27,2070345.0,1.820511473971944,Low,38.91577131093942,-77.3584690061031,Low (<10%)
Iowa,IA,Polk County,153,26,43394208.0,0.5999828304348636,Low,41.581167416741145,-93.61220597357148,Low (<10%)
Oregon,OR,Washington County,67,26,3947274.0,0.0,Low,45.55584899704882,-122.92328161585566,Low (<10%)
Texas,TX,Dallas County,113,25,2441308.0,2.672933828868058,High,32.87255003588678,-96.80495254819212,High (40-80%)
Nevada,NV,Clark County,3,23,5315266.0,0.6583108792313342,Low,36.0994912509425,-115.14105605484488,Low (<10%)
Iowa,IA,Pottawattamie County,155,20,5917157.0,0.1989293494109791,Low,41.183545275858876,-95.81559175943683,Low (<10%)
Wyoming,WY,Laramie County,21,18,21738866.0,4.7538599910416925,Extremely High,41.12572015609861,-104.85100007697908,Extremely High (>80%)
